poll_id,date,title,topics,committees,drucksache_pdf,intro
665,2007-03-09,Rente mit 67,"Gesellschaftspolitik, soziale Gruppen|Senioren|Soziale Sicherung",,,"Mit den Stimmen der Koalition hat der Bundestag die „Rente mit 67“ beschlossen. Von der SPD stimmten 11 Abgeordnete gegen das Gesetz, ebenso die Oppositionsparteien FDP, Die Linke und Bündnis 90/Grüne. Um die volle Rente zu beziehen, müssen die Jahrgänge ab 1964 künftig bis 67 arbeiten."
668,2007-05-25,Unternehmenssteuerreform,"Öffentliche Finanzen, Steuern und Abgaben|Recht|Wirtschaft",,,Mit großer Mehrheit hat der Bundestag die Unternehmenssteuerreform beschlossen. Die Ja-Stimmen kamen aus Union und SPD. Rüdiger Veit und Ottmar Schreiner stimmten als einzige SPD-Abgeordnete mit der Opposition. Durch die Reform werden Unternehmen entlastet und Steuerschlupflöcher gestopft.
667,2007-06-14,Mindestlöhne (Antrag Die Linke.),Arbeit und Beschäftigung|Recht,,,"Die Koalitionsfraktionen und die FDP haben einen Antrag der Linken zur Einführung von Mindestlöhnen abgelehnt. Für den Antrag stimmten vier SPD-Abgeordnete, die Linksfraktion und Bündnis 90/Die Grünen."
669,2007-06-14,Fortsetzung des Bundeswehreinsatzes in Darfur,Verteidigung,,,"Mit großer Mehrheit hat der Bundestag eine Verlängerung des Darfur-Einsatzes deutscher Soldaten beschlossen. 506 Abgeordnete votierten mit Ja, die Linksfraktion stimmte mit Nein, es gab 18 Enthaltungen."
670,2007-06-14,Aufenthalts- und Asylrecht,Migration und Aufenthaltsrecht,,,Gegen die Stimmen der Opposition haben die Koalitionsfraktionen einen Gesetzentwurf zum Aufenthalts- und Asylrecht beschlossen. Dadurch werden elf EU-Richtlinien in deutsches Recht umgesetzt und Ergänzungen am Ausländerrecht vorgenommen. Künftig wird es bspw. ein Mindestalter für den Nachzug von Ehepartnern geben.
653,2007-06-21,Verlängerung Kosovo-Einsatz,Verteidigung,,,Der Bundeswehreinsatz im Kosovo wird um ein weiteres Jahr verlängert. Dies beschloss eine breite Mehrheit im Deutschen Bundestag. Es gab Nein-Stimmen aus allen Fraktionen. Als einzige Fraktion stimmte Die Linke geschlossen gegen den Antrag der Bundesregierung.
671,2007-06-22,Emissionshandel,Umwelt|Naturschutz|Wirtschaft,,,Energiekonzerne in Deutschland müssen ihren CO2-Ausstoß künftig stärker reduzieren. Gegen die Stimmen der Opposition beschloss der Bundestag ein Gesetz zum Emissionshandel. Nicht alle Abgeordneten der Koalition stimmten für den Gesetzentwurf. Erstmals müssen Kraftwerksbetreiber für Verschmutzungsrechte zahlen.
682,2007-09-12,Verlängerung Libanon-Einsatz,Verteidigung,,,"Mit Stimmen von Union, SPD und Bündnis 90/Die Grünen hat der Bundestag den Libanon-Einsatz der Bundeswehr um ein Jahr verlängert. FDP und Linke stimmten mehrheitlich mit Nein, ebenso 19 Abgeordnete der SPD. Mit der Verlängerung des UN-Mandats beschloss das Parlament auch eine Reduzierung der deutschen Soldaten."
679,2007-10-12,"Verlängerung Afghanistan-Einsatz (ISAF, Tornado)",Verteidigung,,,"Mit großer Mehrheit hat der Bundestag für die Verlängerung des ISAF- und Tornado-Einsatzes in Afghanistan gestimmt. Auch 15 Grünen-Abgeordnete stimmten entgegen des Parteitagsbeschlusses mit Ja. Gegenstimmen gab es aus allen Fraktionen, als einzige Fraktion stimmte die Linke geschlossen gegen die Mandatsverlängerung."
685,2007-11-09,Vorratsdatenspeicherung,"Medien, Kommunikation und Informationstechnik|Recht",,,"Gegen die Stimmen der Opposition hat der Bundestag die umstrittene Vorratsdatenspeicherung beschlossen. Insgesamt 11 Abgeordnete der Koalition stimmten gegen den Gesetzentwurf. Künftig müssen Telekommunikationsfirmen sog. Verkehrsdaten von Festnetz-, Handy- und Internetkommunikation sechs Monate lang speichern."
687,2007-11-15,Verlängerung des Anti-Terror-Einsatzes (OEF),Verteidigung,,,Mit großer Mehrheit hat der Bundestag einer Verlängerung der Operation Enduring Freedom (OEF) zugestimmt. Allerdings gab es aus der SPD-Fraktion 42 Nein-Stimmen. Linke und Grüne stimmten geschlossen gegen den US-geführten Anti-Terror-Einsatz. OEF ist eine Reaktion auf die Anschläge vom 11. September 2001.
686,2007-11-16,Diätenerhöhung,Bundestag,,,Mit den Stimmen der Koalitionsfraktionen hat der Bundestag eine Erhöhung der Abgeordnetendiäten ab 2008 beschlossen. Aus Union und SPD gab es auch vereinzelte Nein-Stimmen. Die Oppositionsparteien votierten mehrheitlich gegen die erste Diätenerhöhung seit 2003.
666,2007-12-14,Postmindestlohn,Arbeit und Beschäftigung|Recht,,,"Mit großer Mehrheit hat der Bundestag die Einführung des Postmindestlohns beschlossen. Aus der Union gab es 19 Nein-Stimmen, die FDP stimmte als einzige Fraktion geschlossen gegen den Antrag. 10 Abgeordnete der Linken enthielten sich."
688,2008-02-06,Änderung des Stammzellgesetzes,"Gesundheit|Wissenschaft, Forschung und Technologie",,,"Mit 346 Ja-Stimmen hat der Bundestag der umstrittenen Änderung des Stammzellgesetzes zugestimmt. Die große Mehrheit der SPD- und FDP-Parlamentarier stimmte dafür, die Union sowie die Linksfraktion votierten mehrheitlich knapp, die Grünen fast geschlossen dagegen."
689,2008-04-24,EU-Vertrag von Lissabon,Europapolitik und Europäische Union|Recht,,,Mit erforderlicher Zwei-Drittel-Mehrheit hat der Bundestag dem EU-Reformvertrag von Lissabon zugestimmt. Einzig die Linksfraktion stimmte geschlossen mit Nein. Der Vertrag soll 2009 an die Stelle der gescheiterten europäischen Verfassung treten und die EU effizienter machen.
690,2008-05-30,Bahnprivatisierung,Staat und Verwaltung|Verkehr,,,"Mit großer Mehrheit hat der Bundestag die Teilprivatisierung der Deutschen Bahn AG beschlossen. Allerdings nahmen 60 Abgeordnete aus der Großen Koalition nicht an der Abstimmung teil. Aus Reihen der SPD-Fraktion gab es 27 Nein-Stimmen. Nach den Plänen der Regierungskoalition sollen zunächst lediglich 24,9 Prozent des Personen- und Güterverkehrs an Investoren verkauft werden. Schienennetz und Bahnhöfe sollen auf Dauer zu 100 Prozent in Bundesbesitz bleiben."
691,2008-06-05,Verlängerung Kosovo-Einsatz,Verteidigung,,,Der Bundestag hat den Kosovo-Einsatz mit großer Mehrheit um ein weiteres Jahr verlängert. Einzig die Fraktion Die Linke stimmte dagegen und reichte Klage vor dem Bundesverfassungsgericht ein.
695,2008-09-17,Verlängerung Libanon-Einsatz,Verteidigung,,,"Gegen die Stimmen von Linke, FDP und zehn SPD-Abgeordneten hat der Bundestag die Verlängerung des Libanon-Einsatzes beschlossen. Erstmals wurde das Libanon-Mandat um 15 Monate verlängert. Grund ist die Bundestagswahl im kommenden Jahr. Die Obergrenze der deutschen Einsatzkräfte wurde verringert."
696,2008-09-17,Fortsetzung des Darfur-Einsatzes,Verteidigung,,,"Die Bundeswehr wird mit bis zu 250 Soldatinnen und Soldaten ein weiteres Jahr in Dafur stationiert sein. Dies beschloss der Bundestag mit großer Mehrheit. Die Fraktion der Linkspartei stimmte mehrheitlich gegen den Antrag, aber auch aus der Koalition gab es drei Nein-Stimmen."
697,2008-09-25,Rückkehr zur alten Pendlerpauschale,Arbeit und Beschäftigung|Recht|Wirtschaft,,,"Mit den Stimmen von Union, SPD und Grüne hat der Bundestag einen Antrag der Linken zur Wiedereinführung der alten Pendlerpauschale abgelehnt. Die FDP dagegen unterstützte den Antrag ebenso wie ein SPD-Abgeordneter. Das Thema Entfernungspauschale war eines der bestimmenden Themen im bayerischen Landtagswahlkampf."
699,2008-10-16,Verlängerung Afghanistan-Einsatz (ISAF),Verteidigung,,,Trotz Gegenstimmen aus allen Fraktionen hat der Bundestag für eine Verlängerung des Afghanistan-Einsatzes im Rahmen des ISAF-Mandates gestimmt. Das deutsche Kontingent wird um max. 1.000 Soldatinnen und Soldaten aufgestockt. Anders als in den Vorjahren wird das Mandat um 14 statt der üblichen 12 Monate verlängert. Grund ist die Bundestagswahl im kommenden Jahr.
700,2008-10-17,Banken-Rettungspaket,Wirtschaft,,,Das beispiellose Hilfspaket zur Rettung des Finanzsektors hat den Bundestag passiert. Mit großer Mehrheit stimmte das Parlament für das Eil-Gesetz. Neben den Nein-Stimmen von Linken und Grünen gab es die Enthaltung eines CDU-Abgeordneten.
702,2008-11-12,BKA-Gesetz,Innere Angelegenheiten|Staat und Verwaltung,,,"Mit dem BKA-Gesetz, das der Bundestag gegen die Stimmen der Opposition beschlossen hat, darf das Bundeskriminalamt bei der Terrorabwehr erstmals auch präventiv tätig werden. Dazu erhält das BKA neue Befugnisse wie die Möglichkeit zur Online-Durchsuchung. Erste Klagen gegen das Gesetz sind bereits angekündigt."
701,2008-11-13,Verlängerung des Anti-Terror-Einsatzes (OEF),Verteidigung,,,Nach dem ISAF-Mandat hat der Bundestag gegen die Stimmen von Grünen und Linken auch die Beteiligung deutscher Soldaten am Anti-Terror-Kampf verlängert. Wichtigste Änderung: Die Bundeswehr ist künftig nur noch vor dem Horn von Afrika präsent.
703,2008-11-26,Erbschaftssteuerreform,"Gesellschaftspolitik, soziale Gruppen|Recht",,,"Nach jahrelangem Streit hat der Bundestag eine Reform der Erbschaftssteuer beschlossen. Begünstigt wird die sog. ""Kernfamilie"", entferntere Verwandte können als Verlierer angesehen werden."
704,2008-11-28,Haushalt 2009,Haushalt,,,"Mit den Stimmen der Großen Koalition hat der Bundestag den Haushalt 2009 beschlossen. Ausgaben und Neuverschuldung werden steigen, Steuereinnahmen zurückgehen. Das Ziel eines ausgeglichenen Haushalts im Jahr 2011 wurde inzwischen aufgegeben. Die Opposition spricht von ""Versagen""."
706,2008-12-04,Familienleistungsgesetz,Familie|Soziale Sicherung,,,"Kindergeldhöhung, Anstieg des Kinderfreibetrags und ein ""Schulbedarfspaket"" für einkommensschwache Familien - mit diesen Maßnahmen wollen Union und SPD die Familien entlasten."
707,2008-12-19,Kampf gegen Piraten,Außenpolitik und internationale Beziehungen|Verteidigung,,,"Deutsche Soldaten werden sich an der EU-Mission gegen die Piraterie vor der Küste Somalias beteiligen. Das hat der Bundestag mit großer Mehrheit beschlossen. In dem Antrag der Bundesregierung ist ausdrücklich von ""Anwendung militärischer Gewalt"" durch die deutschen Streitkräfte die Rede."
708,2009-01-22,Mindestlohn für sechs weitere Branchen,Arbeit und Beschäftigung|Recht,,,Nach jahrelangem Streit haben SPD und Union die Auseinandersetzung um den Mindestlohn beigelegt. Mit der Koalitionsmehrheit beschloss der Bundestag die Aufnahme von sechs weiteren Branchen in das Arbeitnehmer-Entsendegesetz. Zahlreiche Abgeordnete der Union stimmten ebenso wie FDP und Linkspartei gegen den Antrag.
711,2009-01-22,Mindestarbeitsbedingungen,Arbeit und Beschäftigung|Recht,,,"Künftig können Mindestlöhne auch in Branchen eingeführt werden, in denen weniger als 50 Prozent der Beschäftigten Tarifverträgen unterliegen. Mit den Stimmen der Koalition beschloss der Bundestag eine notwendige Änderung des ""Mindestarbeitsbedingungengesetzes""."
715,2009-03-20,Enteignung von Banken,Wirtschaft,,,"Die Große Koalition hat den Weg für die Enteignung von Bankaktionären freigemacht. FDP und Linke stimmten dagegen, die Grünen enthielten sich. Das Gesetz ist auf eine Übernahme der Hypo Real Estate zugeschnitten"
716,2009-05-13,Beratungspflicht bei Spätabtreibungen,Familie|Frauen|Gesundheit,,,"Der Bundestag hat eine striktere Regelung bei Abtreibungen nach der zwölften Schwangerschaftswoche beschlossen. U.a. wurde die Bedenkzeit für Schwangere vor einer Spätabtreibung auf drei Tage festgelegt. Bei SPD, FDP, Grünen und CSU gab es sowohl Ja- als auch Nein-Stimmen."
717,2009-05-13,Anbauverbot von Genmais,Gesundheit|Landwirtschaft und Ernährung|Umwelt,,,"Einen Antrag der Grünen zum generellen Anbauverbot von sog. Genmais hat der Bundestag mit den Stimmen von CDU, SPD und FDP abgelehnt. Die Abgeordneten der Linkspartei stimmten für den Entwurf, die der CSU enthielten sich der Stimme. Mehr als jeder sechste Parlamentarier blieb der Abstimmung fern."
718,2009-05-28,Verlängerung Kosovo-Einsatz,Verteidigung,,,Der Bundestag hat den Kosovo-Einsatz mit großer Mehrheit um ein weiteres Jahr verlängert. Einzig die Fraktion Die Linke stimmte geschlossen dagegen. Vereinzelte Nein-Stimmen gab es aber aus allen Fraktionen.
720,2009-05-28,Abgabe von künstlichem Heroin an Schwerstabhängige,"Gesellschaftspolitik, soziale Gruppen|Gesundheit",,,"Alle Bundestagsfraktionen mit Ausnahme der Union haben für einen Gesetzentwurf gestimmt, der eine kontrollierte Abgabe von synthetischem Heroin - sog. Diamorphin - an Schwerstabhängige ermöglicht. Diamorphin wird künftig in die Regelversorgung der gesetzlichen Krankenkassen aufgenommen und gilt nun nicht mehr als illegale Droge."
719,2009-05-29,Schuldenbremse,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen",,,"Mit äußerst knapper Mehrheit haben Union und SPD eine Schuldenbremse für Bund und Länder beschlossen. Die Länder dürfen ab 2020 gar keine Schulden mehr aufnehmen, dem Bund bleibt ab 2016 nur noch ein geringer Spielraum."
721,2009-06-18,Internetsperren,"Medien, Kommunikation und Informationstechnik|Medien|Recht",,,Mit 389 Ja- zu 128 Nein-Stimmen hat der Bundestag die umstrittene Einführung sog. Internetsperren beschlossen. Dadurch soll der Zugriff auf Seiten mit kinderpornographischen Inhalten erschwert werden. Gegner halten die Sperren für weitgehend wirkungslos und befürchten eine Zensur des Internets.
722,2009-06-18,Patientenverfügung (Stünker-Antrag),"Gesellschaftspolitik, soziale Gruppen|Gesundheit|Recht",,,"Nach langjähriger Kontroverse hat sich der Bundestag auf eine gesetzliche Regelung von Patientenverfügungen geeinigt. Diese sollen künftig für die Ärzte verpflichtend sein. Der Wille der Betroffenen ist unbedingt zu beachten, unabhängig von Art und Stadium der Erkrankung."
723,2009-07-02,AWACS-Einsatz in Afghanistan,Verteidigung,,,Mit bis zu 300 Bundeswehrsoldaten wird sich Deutschland am AWACS-Einsatz in Afghanistan beteiligen. Das beschloss der Bundestag mit großer Mehrheit. Einzig die Linkspartei lehnte den Einsatz geschlossen ab. Nein-Stimmen gab es jedoch auch aus den übrigen Fraktionen.
724,2009-07-03,Bundestagswahlrecht,Bundestag|Recht,,,"Grüne und Linke sind damit gescheitert, das Bundestagswahlrecht noch vor der Bundestagswahl im September zu ändern, um sog. ""Überhangmandate"" zu beseitigen. Obwohl auch die SPD für eine Änderung noch vor der Wahl war, stimmte sie aus Koalitionsräson gegen den Antrag. Fast jeder fünfte Abgeordnete blieb der Abstimmung fern."
731,2009-12-03,Verlängerung Afghanistaneinsatz (ISAF),Entwicklungspolitik,,,"Mit den Stimmen von Union, FDP und SPD hat der Bundestag einer Verlängerung des Afghanistaneinsatzes um weitere 12 Monate zugestimmt. Als einzige Fraktion lehnt die Linke den Einsatz geschlossen ab."
733,2009-12-03,Verlängerung des Anti-Terror-Kampfes (OEF),Verteidigung,,,Die deutschen Streitkräfte werden sich ein weiteres Jahr am Anti-Terror-Einsatz ”Operation Enduring Freedom“ (OEF) und an der NATO-geführten ”Operation Active Endeavor“ (OAE) beteiligen. Dies beschloss die schwarz-gelbe Mehrheit im Bundestag.
734,2009-12-03,Verlängerung Libanon-Einsatz (UNFIL),Entwicklungspolitik,,,Gegen die Stimmen der Fraktion Die Linke hat der Bundestag die Fortsetzung des Libanon-Einsatzes für weitere sechs Monate beschlossen. Die Zahl der maximal einzusetzenden Soldatinnen und Soldaten wird von 1200 auf 800 reduziert.
732,2009-12-04,Wachstumsbeschleunigungsgesetz,"Gesellschaftspolitik, soziale Gruppen|Öffentliche Finanzen, Steuern und Abgaben",,,"Die Koalition hat das umstrittene Steuersenkungspaket (""Wachstumsbeschleunigungsgesetz"") mit einem Volumen von 8,4 Milliarden Euro beschlossen. Davon profitieren sollen u.a. Familien, Erben und Hoteliers. Zahlreiche Bundesländer drohen mit Ablehnung im Bundesrat."
761,2009-12-04,Verzicht auf Mehrwertsteuersenkung für das Hotelgewerbe,"Öffentliche Finanzen, Steuern und Abgaben|Wirtschaft",,,"Gegen eine Mehrwertsteuersenkung für das Hotelgewerbe sprechen sich Grüne und SPD aus. Dies sei ordnungs-, steuer- und haushaltspolitisch falsch. Zwei CDU-Abgeordnete stimmten für den Oppositionsantrag, eine SPD-Politikerin dagegen."
759,2009-12-18,Kampf gegen Piraten (ATALANTA),Außenpolitik und internationale Beziehungen,,,"Die Bundeswehr wird sich auch weiterhin vor der Küste Somalias an der Piratenbekämpfung beteiligen. Fast alle Parlamentarier stehen hinter dem Mandat, deutsche Soldaten an das Horn von Afrika zu entsenden. Einzig die Linkspartei stimmte geschlossen dagegen."
760,2009-12-18,Bundeswehreinsatz in Bosnien Herzegowina,Außenpolitik und internationale Beziehungen,,,Mit 140 Soldatinnen und Soldaten beteiligt sich Deutschland an einer EU-Mission zur Stabilisierung von Bosnien und Herzegowina. Der Bundestag hat das Mandat nun gegen die Stimmen der Linken um ein weiteres Jahr verlängert.
766,2010-02-26,Verlängerung Afghanistaneinsatz (ISAF),Entwicklungspolitik,,,Mit großer Mehrheit hat der Bundestag einer Verlängerung des Afghanistaneinsatzes zugestimmt. Allerdings gab es von allen Parteien - mit Ausnahme der CSU - Gegenstimmen. Die Linke stimmte als einzige Fraktion geschlossen mit Nein.
834,2010-03-19,Bundeshaushalt 2010,Haushalt,,,Die Abgeordneten von Union und FDP haben dem Haushaltsentwurf der Bundesregierung zugestimmt. Geplant sind Ausgaben in Höhe von 325 Mrd. Euro.
836,2010-03-25,Abschaffung der reduzierten Mehrwertsteuer für Hotels,"Öffentliche Finanzen, Steuern und Abgaben|Tourismus",,,Union und FDP haben Korrekturen beim ermäßigten Mehrwertsteuersatz für Hotelübernachtungen abgelehnt. Eine entsprechende Forderung hatte die SPD aufgestellt.
838,2010-04-22,Beibehaltung der Steuerfreiheit bei Feiertags- und Nachtarbeit,Arbeit und Beschäftigung,,,"Die SPD fordert die Beibehaltung der Steuerfreiheit bei Zuschlägen für Sonntags-, Feiertags- und Nachtarbeit. Mit einem Antrag wollten die Sozialdemokraten die Regierung dazu verpflichten. Union und FDP stimmten dagegen."
777,2010-05-06,Schnellere Absenkung der Einspeisevergütung im EEG,Energie|Umwelt,,,Mit den Stimmen von CDU/CSU und FDP hat der Bundestag eine schnellere Absenkung der Einspeisevergütung im Erneuerbare-Energien-Gesetz beschlossen. Die Oppositionsparteien stimmten gegen den Antrag.
839,2010-05-06,Mindestsicherung statt Hartz IV,Arbeit und Beschäftigung|Soziale Sicherung,,,"Mit breiter Mehrheit hat der Bundestag einen Antrag der Linken zurückgewiesen, der die Abschaffung von Hartz IV und deutliche Änderungen in der Mindestsicherung forderte."
776,2010-05-07,Notkredit für Griechenland,Außenpolitik und internationale Beziehungen|Europapolitik und Europäische Union|Finanzen,,,"Der Bundestag hat einen Notkredit für Griechenland in Höhe von 22 Milliarden Euro beschlossen. CDU/CSU, FDP und Grüne stimmten mehrheitlich mit Ja, die Linke votierte mit Nein, die SPD enthielt sich der Stimme."
787,2010-05-21,Euro-Rettungsschirm,Außenpolitik und internationale Beziehungen|Europapolitik und Europäische Union|Finanzen,,,Mit den Stimmen von CDU/CSU und FDP hat der Bundestag grünes Licht für einen milliardenschweren Euro-Rettungsschirm gegeben. Der Regierungskoalition fehlten dreizehn Stimmen aus dem eigenen Lager.
794,2010-06-10,Verlängerung Kosovo-Einsatz (KFOR),Entwicklungspolitik,,,Der Bundestag hat den Kosovo-Einsatz mit großer Mehrheit um ein weiteres Jahr verlängert. Einzig die Fraktion Die Linke stimmte geschlossen dagegen. Vereinzelte Enthaltungen gab es bei fast allen Fraktionen.
803,2010-06-10,Austritt aus der Kernfusion (ITER),Energie|Verbraucherschutz|Reaktorsicherheit,,,"Die Grünen glauben, dass die Kernfusion in den nächsten 50 Jahren keinen Beitrag leisten kann, die drängenden globalen Energie- und Klimaprobleme zu lösen. Der Bau des Kernfusionsreaktors ITER stelle zudem ein unkalkulierbares Risiko für die öffentlichen Haushalte Deutschlands und der EU dar, heißt es in dem Antrag."
805,2010-06-17,Reform der Jobcenter,Recht|Staat und Verwaltung,,,"Ziel der Grundgesetzänderung ist es, dass die Leistungen im Rahmen der Grundsicherung für Arbeitslose weiterhin in den Jobcentern angeboten werden können. Mit Ausnahme der Linkspartei stimmten alle Parteien für den Gesetzentwurf."
806,2010-06-17,Verlängerung des Libanon-Einsatzes (UNFIL),Entwicklungspolitik,,,Seit der letzten Mandatsverlängerung ist eine stabile Regierung der nationalen Einheit an der Macht. Daher plädiert die Bundesregierung für eine Reduzierung der Truppen von gegenwärtig 800 auf 300 Bundeswehrsoldaten. Trotzdem bleibt die Lage weiterhin angespannt.
807,2010-06-17,Verlängerung des Darfur-Einsatzes (UNAMID),Entwicklungspolitik,,,"Alle Fraktionen mit Ausnahme der Linken haben sich für eine Verlängerung des Darfur-Einsatzes ausgesprochen. Die Lage in der Krisenregion Darfur bleibe weiterhin angespannt, heißt es zur Begründung."
809,2010-06-17,Verlängerung des Sudan-Einsatzes (UNMIS),Entwicklungspolitik,,,Deutsche Soldaten werden sich für weitere zwölf Monate an der Mission im Sudan (UNMIS) beteiligen. Das beschloss der Bundestag mit großer Mehrheit.
811,2010-06-17,Bundeswehr ohne Wehrpflicht,Innere Angelegenheiten|Verteidigung,,,"Die Grünen sind mit einem Antrag gescheitert, mit dem die Bundesregierung zur Erarbeitung eines sicherheitspolitischen Konzepts für die Bundeswehr aufgefordert wird. Auch die Wehrpflicht gehöre auf den Prüfstand."
808,2010-06-18,Reduzierung der Wehrpflicht,"Gesellschaftspolitik, soziale Gruppen|Recht|Verteidigung",,,Ungeachtet der gegenwärtigen Debatten über eine mögliche Aussetzung bzw. kompletten Abschaffung der Wehrpflicht haben CDU/CSU und FDP eine Verkürzung der Wehrpflicht von neun auf sechs Monate beschlossen. Diese Entscheidung betrifft auch den Zivildienst.
829,2010-10-28,Verlängerung von AKW-Laufzeiten,Energie|Umwelt|Wirtschaft,,,Nach einer emotionalen Plenardebatte hat der Bundestag die Verlängerung von Atomkraftwerk-Laufzeiten beschlossen. Diese sollen durchschnittliche 12 Jahre länger laufen als bislang vorgesehen.
830,2010-10-28,Abschöpfung von Zusatzgewinnen aus AKW-Laufzeitverlängerung,Energie|Umwelt,,,"Durch Verträge mit der Atomindustrie über die Laufzeitverlängerung kann die Bundesregierung auf hohe zusätzliche Einnahmen hoffen, die in die Erneuerung des Energiesektors gesteckt werden sollen."
831,2010-10-28,Brennelementesteuer,Energie|Haushalt|Umwelt,,,"Um zusätzliche Einnahmen für den Bundeshaushalt zu erzielen, hat der Bundestag eine Brennelementesteuer beschlossen. Diese soll 2,3 Mrd. Euro einbringen."
832,2010-10-28,Sparpaket (Haushaltsbegleitgesetz),Haushalt,,,"Um den Bundeshaushalt zu entlasten, hat das Parlament heute ein umfangreiches Sparpaket beschlossen, das unter anderem eine Luftverkehrssteuer vorsieht. Für 2011 soll der Haushalt bereits um 3,5 Mrd. Euro entlastet werden."
841,2010-11-11,Neuordnung am Arzneimittelmarkt,Gesundheit|Wirtschaft,,,"Der erste Teil der Gesundheitsreform stand heute zur Abstimmung. Um die hohen Arzneimittelpreise besser in den Griff zu bekommen, hat der Bundestag einen Gesetzentwurf von Union und FDP beschlossen. Die Opposition fordert zahlreiche Änderungen. Aus der CDU gab es zwei Gegenstimmen."
